39,adepal,levonorgestrel/ethinylestradiol,"0,15/0,03",b/63
40,adex lp,   indapamide,"1,5mg",bte/30
41,adipine,   nifedipine,10,b/30
42,adipine,   nifedipine lp,20 mg,b/30
43,adrenaline,adrenaline,"0,25",b/100 amp
44,adrenaline,adrenaline,1,b/100 amp
45,adrenaline,adrenaline,1,b/100 amp
46,advil, ibuprofene,20mg,fl/200ml
47,advitam,multivitamine,multivitamine,f/100ml
48,aerolin,   salbutamol,100,fl/400 doses
49,agram, amoxicilline,500mg,b/12
50,agram, amoxicilline,125mg/5ml,fl/60 ml
51,agram, amoxicilline,250mg/5ml,fl/60 ml
52,agreal,veralipride,100,b/20
53,agyrax,meclozine,25mg,b/15
54,airditine, desloratadine,"0,5 mg/ml",fl/120 ml
55,akaryd,loratadine,10mg,b/20
56,aknett,isotretinoine,20mg,b/30
57,aknett,isotretinoine,10mg,b/30
58,albutol,   acebutolol,200mg,b/20
59,alcomicin, gentamicine,3mg/ml,fl/5 ml
60,alcomicin, gentamicine,3mg/ml,fl/5 ml
61,aldactazine,   spironolactone/altizide,25/15,b/20
62,aldactazine,   spironolactone/altizide,25mg/15mg,bt/30
63,aldactone, spironolactone micronisee,75,b/20
64,aldactone, spironolactone micronisee,75mg,bt/30
65,aldarone,  amiodarone,200,b/20
66,aldomet,   methyldopa,250,b/30
67,aldomethyl,methyldopa,250,b/30
68,alerfast,"  fexofnadine,sous forme de chlorhydrate",120mg,bte/16
69,alerfast,"  fexofnadine,sous forme de chlorhydrate",180mg,bte/16
70,alerfene,  ketotifene,1mg,b/30
71,alerfene,  ketotifene,1mg/5ml,fl/125 ml
72,alerid,cetirizine,10mg,b/10
73,alfinor,   betahistine,8,b/100
74,algesal suractive, salicylate diethylamine/myrtecaine,10 g/1,t/40 g
75,algidex,"   tramadol,sous forme de chlorhydrate",50mg,bte/30
76,algifen,   ibuprofene,20mg/ml,fl/125ml
77,algifen,   ibuprofne,20mg/ml,fl/180ml
78,algimol,   paracetamol,150 mg,b/10
79,algimol,   paracetamol,170 mg,b/10
80,algimol enfant,paracetamol,200mg,b/10
81,algimol enfant,paracetamol,300mg,b/10
82,algimol nourrisson,paracetamol,120mg,b/10
83,algimol pediatrique,   paracetamol,0.03,fl/90ml
84,alkeran,   melphalan,2 mg,b/50
85,allergine, loratadine,10mg,b/10
86,allertine, loratadine,10mg,b/20
87,allertine, loratadine,"0,1%",fl/60ml
88,allochrysine,  aurothiopropanol sulfonate de sodium,"0,02g/2ml +8mldiluan",b/1+1 amp
89,allochrysine,  aurothiopropanol sulfonate de sodium,"0,05g/2ml+8ml diluan",b/1 amp de 2 ml
90,allochrysine,  aurothiopropanol sulfonate de sodium,"0,10g/2ml+8ml diluan",b/1 amp de 8 ml
91,allomax,   hydroxyde d'aluminium et de magnesium,"3,4g/3,9g/100ml",fl/250 ml
92,allopurinol,   allopurinol,100,b/10
93,almide,lodoxamide,"0,1%",fl/5ml
94,almiral,   diclofenac,75mg,b/10 amp de 3 ml
95,almiral,   diclofenac,50mg,b/20
96,almiral,   diclofenac,100mg,b/10
97,almiral,   diclofenac sel de sodium,75mg/3ml,b/5 amp
98,alodipine, amlodipine,5mg,b/28
99,alodipine, amlodipine sous forme de besylate,10mg,bte/30
100,alodont,   cetylperidinium chlorure/,5mg/50mg,fl/200 ml
101,alpha- trypsine,   chymostrpsine,5400,t/20 g
102,alpha-tripsine,chymotrypsine,5400 uae,t/20 g
103,alphamol,  paracetamol,500mg,b/20
104,alphamox,  amoxicilline,500mg,b/12
105,alphatrim, cotrimoxazole,200mg/40mg/5ml,fl/60 ml
106,alprofen,  ketoprofene,100mg,b/10
107,altim, cortivasol,"3,75 mg","b/1 amp de 1,5  ml   o"
108,altim, cortivasol,"3,75","b/1 amp de 1,5ml"
109,altocel,   loperamide,2mg,b/20
110,alugel,hydroxyde d'aluminium et de magnesium,250,fl/250 ml
111,aluric ,allopurinol,300mg,b/20
112,alustal,   extraits d'allergeniques adsorbes sur hydroxyde d,"0,1 ir+1 ir + 10 ir/ml",coffret 3fl de 5ml   o
113,alustal,   extraits d'allergeniques adsorbes sur hydroxyde d,10 ir/ml,b/1 fl de 5 ml
114,alustal,   extraits d'allergeniques adsorbes sur hydroxyde d,"0,1 ir + 1 ir + 10 ir/ml",coffret de 3fl
115,alustal,   extraits allergeniques adsorbes sur hydroxyde  d',10ir/ml,b/1fl
116,alvil, ibuprofene,20mg/ml,fl/200ml
117,alzor," dorzolamide,sf dorzolamide chlorhydrate",2%(2g/100ml),fl/5ml
118,amadvil,   ibuprofene,200mg,b/20
119,amapiride, glimepiride,2mg,b/30
120,amapiride, glimepiride,4mg,b/30
121,amapiride hup, glimepiride,1mg,bte/30
122,amapiride hup, glimepiride,3mg,bte/30
123,amapiride hup, glimpiride,2mg,bte/30
124,amapiride hup, glimpiride,4mg,bte/30
125,amarel,glimepiride,1mg,b/30
126,amarel,glimepiride,2mg,b/30
127,amarel,glimepiride,3mg,b/30
128,amarel,glimepiride,4mg,b/30
129,amarel,glimepiride,6mg,bte/30
130,amarine,   glimepiride,2mg,b/30
131,amarine,   glimepiride,1mg,b/30
132,amarine , glimepiride,4mg,b/30
133,amatriline,amitriptyline,0.04,fl/30ml
134,ambolar,   ambroxol chlorhydrate,125,fl/125 ml
135,amep,  amlodipine,5mg,b/28
136,amikoz,fluconozole,50mg,b/7
137,amikoz,fluconazole,150mg,b/1
138,amikoz,fluconazole,50 mg,bte/03
139,amilo, amlodipine,5mg,b/28
140,amiloretic,hydrochlorothiazide/amiloride,50mg/5mg,b/30
141,amiocardone,   amiodarone,200 mg,bte/30
142,amipac,ampicilline sodium,500mg,b/50fl+50fl solvant  o31072006
143,amipac,ampicilline sodium,1g,b/50fl+50fl solvant  o31072006
144,amipac,ampicilline,1g,b/1fl pdre 1amp solv o04022009
145,amirone,   amiodarone chlorhydrate,200mg,b/30
146,amitral,   lamotrigine,25mg,bte/30
147,amitral,   lamotrigine,100mg,bte/30
148,amitral,   lamotrigine,5mg,bte/30
149,amitriptyline, amitryptilline,4,fl/20 ml
150,amitriptyline, amitriptyline chlorhydrate,40mg/ml,fl/20ml
151,amitryptilline,amitryptilline,4,fl/20 ml
152,amlibon,   amlodipine,5mg,b/40
153,amlibon,   amlodipine,10mg,b/30
154,amlibon,   amlodipine sous forme de bsylate,5mg,bte/30
155,amlibon,   amlodipine sous forme de bsylate,5mg,bte/90
156,amlibon,   amlodipine,10mg,b/90
157,amlocal,   amlodipine besylate,5mg,b/30
158,amlocardine,   amlodipine,5mg,b/30
159,amlocor-, amlodipine,5mg,b/30
160,amlodar,   amlodipine,5mg,b/28
161,amlodar,   amlodipine,10mg,b/28
162,amlodex,   amlodipine sous forme de bsylate,5mg,bte/30
163,amlodipal, amlodipine,5mg,b/30
164,amlodipine,amlodipine besylate,5mg,b/30
165,amlomed,"   amlodipine,s/f de bsilate",5 mg,bte/30
166,amlomex,"   amlodipine,s/forme amlodipine bsylate",5mg,bte/40
167,amlopine,  amlodipine,5mg,b/40
168,amlopine,"  amlodipine , sous forme besylate",5mg,b/30
169,amlopress, amlodipine besylate,5mg,b/30
170,amlor, amlodipine,5mg,b/28
171,amlor, amlodipine,5mg,b/30
172,amlor, amlodipine,10mg,b/28
173,amlor," amlodipine,sous forme de besylate",5 mg,bte/98
174,amloridal," amlodipine, sous forme d'amlodipine bsylate",5 mg,bte/30
175,amloridal," amlodipine,s/forme d'amlodipine bsylate",10 mg,bte/30
176,amlotensine,   amlodipine,5mg,b/28
177,amlotensine,   amlodipine,10mg,b/28
178,amlovaste," amlodipine,s/f bsilate/atorvastatine,s/f calciqu",5mg/10mg,b/30
179,ammoxyl,   amoxicilline,1g,b/6
180,ammoxyl,   amoxicilline,1g,b/14
181,ammoxyl,   amoxicilline,500mg,b/12
182,amoclan,   amoxicilline/acide clavulanique,1g/200mg,b/1fl
183,amoclan,   amoxicilline/acide clavulanique,500mg/100mg,bte/1fl
184,amoclan ,"   amoxicilline,s/f trihydrate/acide clavulanique","500 mg/62,5mg",bte/20
185,amoclan bid,   amoxicilline/acide clavulanique,"200mg/28,5mg/5ml",fl/70ml
186,amoclan bid,   amoxicilline/acide clavulanique,400mg/57mg/5ml,fl/35ml
187,amoclan bid,   amoxicilline/acide clavulanique,400mg/57mg/5ml,fl/70ml
188,amoclan bid,   amoxicilline/acide clavulanique,875mg/125mg,b/10
189,amoclan forte, amoxicilline/acide clavulanique,500mg/125mg,b/12
190,amoclan forte, amoxicilline/acide clavulanique,"250mg/62,5mg/5ml",fl/60 ml
191,amoclav enfant,amoxicilline s/f trihydrate/acide clavulanique,"100mg/12,5mg",fl/60ml
192,amodex,amoxicilline,500mg,b/12
193,amodex,amoxicilline,250mg/5ml,fl/60 ml
194,amodex g, amoxicilline,500mg/5ml,fl/60ml
195,amodex-g,  amoxicilline,1g,b/14
196,amodex-ge, amoxicilline,500mg,b/12
197,amodex-ge, amoxicilline,250mg/5ml,fl/60 ml
198,amodex-ge, amodex-ge,1g,b/6
199,amoksiklav,amoxicilline/acide clavulanique,"250mg/62,5mg/5ml",fl/100 ml
200,amotridal, lamotrigine,5mg,b/28
201,amotridal, lamotrigine,25mg,b/28
202,amotridal, lamotrigine,100mg,b/28
203,amotridal, lamotrigine,50mg,bte/28
204,amoxal,amoxicilline,1g,b/1+1
205,amoxal,amoxicilline,500mg,b/12
206,amoxal,amoxicilline,250mg/5ml,fl/60 ml
207,amoxal,amoxicilline,1g,b/12
208,amoxal,amoxicilline,1g,b/14
209,amoxi-gobens,  amoxicilline,500mg,b/12
210,amoxi-gobens,  amoxicilline,250mg/5ml,fl/60 ml
211,amoxicilline eg,   amoxicilline,1g,b/6
212,amoxicilline eg,   amoxicilline,1g,b/14
213,amoxicilline eg,   amoxicilline,250mg/5ml,fl/60ml
214,amoxicilline eg,   amoxicilline,500mg/5ml,fl/60ml
215,amoxicilline eg,   amoxicilline,125mg/5ml,fl/60ml
216,amoximex,  amoxicilline,250mg/5ml,fl/60 ml
217,amoximex,  amoxicilline,1g,b/6
218,amoximex,  amoxicilline,1g,b/14
219,amoximex,"  amoxicilline, sous forme tritydrate",500mg,bte/12
220,amoximex,"  amoxicilline anhydre, sous forme trihydrate",500mg/5ml,fl/60ml
221,amoximex,"  amoxicilline anhydre, sous forme trihydrate",125mg/ml,fl/60ml
222,amoxydar,  amoxicilline,250,b/20
223,amoxydar,  amoxicilline,500mg,b/20
224,amoxydar,  amoxicilline,125mg/5ml,fl/100 ml
225,amoxydar,  amoxicilline,250mg/5ml,fl/100 ml
226,amoxydar,  amoxicilline,1g,b/12
227,amoxypen,  amoxicilline,500,b/1
228,amoxypen,  amoxicilline,1g,b/1
229,amoxypen,  amoxicilline trihydratee,500mg,b/12
230,amoxypen,  amoxicilline,250mg/5ml,fl/60 ml
231,amoxypen,  amoxicilline  trihydratee,500mg,b/12
232,amoxypen,  amoxicilline,1g,b/16
233,amoxypen,  amoxicilline,500mg/5ml,fl/60ml
234,amoxypen,  amoxicilline,125mg/5ml,fl/60ml
235,amoxypen,  amoxicilline,1g,b/6
236,amoxypen,  amoxicilline,1g,b/14
237,ampal, ampicilline,1g,b/1+1
238,ampal, ampicilline,500,b/12
239,ampen, ampicilline,250,fl/60 ml
240,ampen, ampicilline,500,b/12
241,ampenix,   ampicilline,500,b/12
242,ampiline,  ampicilline,500 mg,o
243,ampiline,  ampicilline,500,b/8
244,ampiline,  ampicilline,1g,b/1+1 amp
245,ampiline,  ampicilline,125,fl/60 ml
246,ampiline,  ampicilline,250,fl/60 ml
247,ampiline,  ampicilline trihydratee,500,b/12
248,ampimex,"   ampicilline ,sous forme tritydrate",500mg,bte/12
249,ampinax,   ampicilline,500mg,b/12
250,ampinax,   ampicilline sous forme de sel de sodium,1g,b/1fl pdr+solv 5ml   o21102010
251,ampinax,"   ampicilline,sous forme trihydrate",250mg/5ml,fl/60ml
252,ampinax,"   ampicilline,sous forme trihydrate",250mg/5ml,fl/100ml
253,anafranil, clomipramine chlorhydrate,25,b/5 amp de 2 ml
254,anafranil, clomipramine chlorhydrate,10,b/60
255,anafranil, clomipramine chlorhydrate,25,b/50
256,anafranil, clomipramine chlorhydrate,75,b/20
257,anargil,   danazol,200,b/100
258,anaspasmyl,trimebutine,100mg,b/20
259,andriol,   testosterone undecanoate,40,b/60
260,andriol testocaps, testostrone undcanoate,40mg,bte/30
261,androcur,  cyproterone acetate,50,b/20
262,androtardyl,   testosterone enanthate,250,b/1 amp
263,angilat,   nifedipine lp,20mg,b/30
264,angiopril, enalapril maleate,5mg,b/30
265,angiopril, enalapril maleate,20mg,b/20
266,angiotec,  enalapril,5mg,b/30
267,angiotec,  enalapril,20mg,b/20
268,angiozide, enalpril maleate/hydrochlorothiazide,"20mg/12,5 mg",b/20
269,angizar,"   losartan,sous forme potassique",50mg,bte/28
270,angodal,   isosorbide dinitrate,10 mg,b/60
271,angodal,   isosorbide dinitrate,20mg,bte/60
272,antadine,  flurbiprofene,100mg,b/20
273,antadys,   flurbiprofene,100,b/15
274,antafene,  ibuprofene,200mg,b/20
275,antag, omeprazole,20mg,b/14
276,antagonin, ranitidine,150mg,b/20
277,antalfen,  ibuprofene,20mg/1ml=(100mg/5ml),200ml
278,antalfen,  ibuprofene,200mg,bte/15
279,antalfen,  ibuprofne,400mg,bte/20
280,antamol,   paracetamol,500mg,b/20
281,antarene g,   ibuprofene,400mg,b/30
282,antarene g,   ibuprofene,200mg,b/30
283,antaxid,   hydroxyde d'aluminium et de magnesium,"3,49g/3,99g/100ml",fl/125 ml
284,anthelmin, mebendazole,20,fl/30 ml
285,anxiol,amitryptyline chlorhydrate,40,fl/15 ml
286,anxiol,"amitryptiline, sous forme chlorhydrate",40mg/ml ou 4%,fl/20ml
287,anxypam,   bromazepam,6mg,b/30
288,anzapine,  olanzapine,10mg,b/7
289,anzapine,  olanzapine,10mg,b/28
290,anzapine,  olanzapine,5mg,b/30
291,anzapine - oro,olanzapine,10mg,b/30
292,aparoxal,  phenobarbital,100mg,b/20
293,api e, tocopherol,100mg,b/20
294,apicarpin, pilocarpine,1,fl/10 ml
295,apicarpin, pilocarpine,2,fl/2 ml
296,apicrom,   cromoglycate de sodium,0.02,fl/10 ml
297,apicrom,   cromoglycate de sodium,2,fl/10 ml
298,apidra optiset,insuline glulisine,"100ui/ml(3,49mg/ml)",b/5 sty 3ml(300ui/3m o16102011
299,apidra solostar,   insuline glulisine,"100ui/ml(3,49mg/ml)",b/5 sty solostar 3ml o16102011
300,apifen,ibuprofene,400 mg,b/20
301,apifen,ibuprofene,200mg,b/20
302,apiflox,   norfloxacine,3,fl/10 ml
303,apifrin -,   phenylephrine,10,fl/10 ml
304,apigen,gentamicine,3mg/ml,fl/10 ml
305,apilor,loratadine,10mg,b/20
306,apimol,timolol,"0,25",fl/5 ml
307,apimol,timolol,"0,50%",fl/5 ml
308,apirovit,  thiamine  nitrate pyridoxine  chlorhydrate,250mg/250mg,b/20
309,apitidine, ranitidine,150mg,b/20
310,apitidine, ranitidine,300mg,b/10
311,apitidine, ranitidine,150mg,tube/20
312,apitidine, ranitidine,300mg,bte/10
313,apitropin, atropine,"0,5",fl/10 ml
314,apitropin, atropine,1,fl/10 ml
315,apranax,   naproxene sodique,275mg,b/30
316,apranax,   naproxene sodique,550mg,b/16
317,aprival,   irbsartan,150mg,bte/30
318,aprival,   irbsartan,300mg,bte/30
319,aprosart,  irbsartan,150mg,bte/30
320,aprosart,  irbsartan,300mg,bte/30
321,aprovel,   irbesartan,75mg,b/28
322,aprovel,   irbesartan,150mg,b/28
323,aprovel,   irbesartan,300mg,b/28
324,aptamil pepti junior,  lait en poudre sans proteines de lait de vache,0,b/400g
325,apurone,   flumequine,400,b/30
326,aradex ,irbesartan,150 mg,bte/30
327,aradex ,irbesartan,300 mg,bte/30
328,arava, leflunomide,10mg,bt ou fl de 30
329,arava, leflunomide,20mg,bt ou fl de 30
330,arava, leflunomide,100mg,b/3
331,aravel,irbesartan,150 mg,bte/30
332,aravel,irbesartan,300 mg,bte/30
333,ardine,amoxicilline,250,b/12
334,ardine,amoxicilline,500mg,b/12
335,ardine,amoxicilline,125mg/5ml,fl/60 ml
336,ardine,amoxicilline,250mg/5ml,fl/60 ml
337,aredia,pamidronate de sodium,15mg/5ml,b/4+4
338,aredia,pamidronate de sodium,60mg/10ml,b/1+1
339,aredia,pamidronate de sodium,90mg/10ml,b/1+1
340,arem,  nitrazepam,5,b/30
341,argyrol,   vitellinate d'argent/proteinate d'argent,1,fl/10 ml
342,aricept,   chlorhydrate de donepezil,5 mg,bte/28
343,aricept,   chlorhydrate de donepezil,10 mg,bte/28
344,aridone hup,   donpzil s/f de chlorhydrate,5mg,b/28
345,aridone hup,   donpzil s/f de chlorhydrate,10mg,b/28
346,arimidex,  anastrazole,1mg,b/28
347,aromasine, exemestane,25 mg,b/30
348,arovan,"atorvastatine,s/f calcique trihydrate",10mg,bte/30
349,arovan,"atorvastatine, s/f calcique trihydrate",20 mg,bte/30
350,arovan,atorvastatine,40 mg,bte/30
351,artansil,  irbsartan,150mg,bte/30
352,artansil,  irbsartan,300mg,bte/30
353,artelac,   hypromellose,"3,20mg/ml",fl/10ml
354,artiz, cetirizine dihydrochloride,10mg,b/10
355,artrolife, indometacine,25,b/30
356,artrolife, indometacine,50mg,b/10
357,artrolife, indometacine,100mg,b/10
358,ascabiol,  benzoate de benzyl/sulfirame,10%/2%,fl/125ml
359,asiapirine,acide  acetylsalicylique,81mg,b/30
360,asitamol,  paracetamol,500mg,b/20
361,asmadil,   salbutamol,2,b/30
362,asmadil,   salbutamol,2,fl/120 ml
363,asmaline,  terbutaline,"0,5mg/ml",bte/50 amp
364,asmanore,  salbutamol,2,b/30
365,asmanore,  salbutamol,2,fl/100 ml
366,aspalgic,  acide acetysalicylique,500mg,b/20
367,aspalgine, acide acetyl salicylique,81 mg,b/20
368,aspec, acide actylsalicylique,100mg,bte/28
369,aspec, acide acetylsalicylique,100mg,bte/98
370,aspegic,   acetylsalicylate de lysine,100,b/20 sachets
371,aspegic,   acetylsalicylate de lysine,900,b/6
372,aspegic,   acetylsalcicylate de lysine,1,b/6 amp
373,aspegic,   acetylsalicylate de lysine,250mg,b/20 sachets
374,aspegic,   acetylsalicylate de lysine,500mg,b/20
375,aspegic adultes,   acide acetylsalicylique,"1g dl-lysine 1,8g/sachet-dose",bte/20
376,aspevasc ,  acide acetylsalicylique,100mg,b/30
377,aspicard,  acide acetyl salicylique,81 mg,b/120
378,aspigal ,   acide acetylsalicylique,900mg,b/1 flacon pdre+1amp o25032008
379,aspireff,  acide acetysalicylique,500mg,b/12
380,aspirine,  acide acetylsalicylique,500mg,b/20
381,aspirine beker,acide actylsalicylique,500mg,bte/28
382,aspirine biotic,   acide acetylsalicylique,100mg,b/20
383,aspirine biotic,   acide acetylsalicylique,160mg,bte/20
384,aspirine cardio,   acide acetylsalicylique,100 mg,bte/60
385,aspirine ph , acide acetysalicylique,500mg,b/20
386,aspril ,acide acetysalicylique,500mg,b/20
387,asprocard, acide acetylsalicylique,81mg,b/30
388,astapin,   acide acetysalicylique,500mg,b/20
389,asthalin,  salbutamol,2,b/30
390,asthalin,  salbutamol,2,fl/100 ml
391,asthalin,  salbutamol,100,fl/200 doses
392,asthalin,  salbutamol,5mg/ml,fl/15 ml
393,atabek,"candesartan, s/f de cilextil",8mg,bte/30
394,atabek,"candesartan, s/f de cilextil",16mg,bte/30
395,atacand,   candesartan cilexetil,4mg,bt/28
396,atacand,   candesartan cilexetil,8mg,bt/28
397,atacand,   candesartan cilexetil,16mg,b/28
398,atacand,"   candesartan,s/forme de candesartan cilexetil",16mg,bte/30
399,ataline,   terbutaline,"2,5",b/50
400,atapsin,   acide acetylsalicylique,500mg,b/20
401,atarax,hydroxyzine,25mg,b/15
402,atarax,hydroxyzine,25mg,b/30
403,atarax,hydroxyzine,100mg,b/10
404,atarax,hydroxyzine,100mg,b/30
405,atarax,hydroxizine dichlorhydrate,2mg/ml,fl/200 ml
406,ataspin,   acide acetyl salicylique,500mg,b/20
407,atelol,atenolol,100mg,b/14
408,atenol,atenolol,100mg,b/28
409,atenor,atenolol,100mg,b/20
410,atenor,atenolol,100mg,b/30
411,athymil,   mianserine chlorhydrate,10,b/30
412,athymil,   mianserine chlorhydrate,30,b/20
413,athyrozol, carbimazole,5 mg,bte/50
414,atinal,atenolol,100mg,b/30
415,atinal,atenolol,50mg,b/30
416,ator,"  atorvastine,s/f calcique trihydrate",80 mg,bte/28
417,ator , atorvastatine (sous forme calcique trihydrate,10mg,bte/28
418,ator ,"atorvastatine ,s/f calcique trihydrate",40mg,bte/28
419,ator ,atorvastatine,20mg,b/28
420,atorin ,  atorvastatine s/f calcique trihydrate,80mg,bte/30
421,atorin ,  atorvastatine s/f calcique trihydrate,40mg,bte/28
422,atorin ,  atorvastatine s/f calcique trihydrate,20mg,bte/28
423,atorin ,  atorvastatine s/f calcique de trihydrate,10mg,bte/28
424,atorin ,"   atorvastatine, sous forme calcique trihydratee",10mg,bte/30
425,atorvastatine ival,atorvastatine,10mg,b/28
426,atoval,atorvastatine,20 mg,b/10
427,atoval,atorvastatine,10 mg,b/10
428,atoval,atorvastatine,10mg,bte/28
429,atropine,  atropine,1,fl/5 ml
430,atropine alcon,atropine,"0,30",fl/10 ml
431,atropine alcon,atropine,"0,50",fl/10 ml
432,atropine alcon,atropine,1,fl/10 ml
433,atropine-alcon,atropine,"0,30%",fl/10 ml
434,atropine-alcon,atropine,"0,50%",fl/10 ml
435,atropine-alcon,atropine,0.01,fl/10 ml
436,atrostine, atorvastatine,10mg,b/30
437,atrostine, atorvastatine,20 mg,b/30
438,atrovent,  ipratropium bromure,20,fl/200 doses
439,atryline,  amitriptylline,25mg,b/60
440,atryline,  amitriptylline,50mg,b/30
441,atryline,  amitriptyline,40mg/ml(4%),fl/20ml
442,augmentimex,   amoxicilline/acide clavulanique,"100mg/12,5mg/ml",fl/30ml
443,augmentimex,   amoxicilline/acide clavulanique,"100mg/12,5mg/ml",fl/60ml
444,augmentimex adultes,   amoxicilline/acide clavulanique rapport 8/1,"500mg/62,5mg",b/16
445,augmentin, amoxicilline/acide clavulanique,500 /50,b/1+1
446,augmentin, amoxicilline/acide clavulanique,500mg/125mg,b/12
447,augmentin, amoxicilline/acide clavulanique,"250mg/62,5mg/5ml",fl/60 ml
448,augmentin, amoxicilline/acide clavulanique,"100mg/12,5 mg/ml",fl/30ml
449,augmentin, amoxicilline/acide clavulanique,"100mg/12,5mg/ml",fl/60ml
450,augmentin, amoxicilline/acide clavulanique,1g/200mg,b/10
451,augmentin, amoxicilline/acide clavulanique,2g/200mg,b/10
452,augmentin adulte,  amoxiclline / acide clavulanique,1g/125mg,b/12
453,augmentin adultes, amoxicilline/acide clavulanique,"500mg/62,5mg",b/16
454,augmentin adultes, amoxicilline/acide clavulanique,"500mg/62,5mg",b/24
455,augmentin enfant,  amoxiclline /acide clavulanique,"500mg/62,5mg",b/12
456,aumeprazol hispal, omeprazole,20mg,b/14
457,aureomycine,   chlorotetracycline,1,t/5 g
458,avafortan, metamizole/camylofine,"1,2 g/120mg/5",b/5 amp de 5 ml
459,avamys,fluticasone furoate,"27,5ùg/dose",f/120 doses
460,avandia,   rosiglitazone maleate,4mg,b/14
461,avandia,   rosiglitazone maleate,4mg,b/28
462,avandia,   rosiglitazone maleate,8mg,b/14
463,avandia,   rosiglitazone maleate,8mg,b/28
464,avlocardyl,propranolol,40,b/50
465,avlocardyl lp, propranolol,160,b/28
466,avonex,interferon beta-1a reconbinant,"30æg/0,5ml(6 mui/0,5ml)",bte/4
467,azantac,   ranitidine,150mg,b/30
468,azapress,  azathioprine,50 mg,b/100
469,azathioprine,  azathioprine,50,b/100
470,azed,  azithromycine,250mg,b/6
471,azepal,carbamazepine,200mg,b/20
472,azimycine, azithromycine dihydrate,250mg,b/6
473,azimycine, azithromycine,200mg/5ml,fl/15ml
474,azithral,"  azithromycine,s/f dihydratee",500 mg,bte/03
475,azithrom hup,  azithromycine s/f dihydratee,500 mg,bte/03
476,azithromycine beker,"   azithromycine, s/f dihydrate",500 mg,bte/03
477,azithromycine iberal,  azithromycine,500mg,b/3
478,azithron,  azithromycine,250mg,b/06
479,azithron,"  azithromycine, s/f monohydrate hemiethanolate",600mg,bte/08
480,azopt, brinzolamide,10mg/ml,fl/5ml
481,azyter,"azithromycine,s/f dihydrate",15mg/g,b/06 recip unidoses  o16102011
482,"b,six", pyridoxine,250,b/20
483,bacicoline a la bactracine,colistine/hydrocortisone/bacitracine,25mui/1g/50000ui/100,fl/5 ml
484,bacitracine martinet,  bacitracine,500,fl/5 ml
485,bacro, baclofene,10,b/50
486,bactall,   ciprofloxacine,750 mg,bte/10
487,bactekod,  cotrimoxazole,200mg/40mg/5ml,fl/100 ml
488,bactekod,  cotrimoxazole,400mg/80mg,b/20
489,bactekod,  cotrimoxazole,800mg/ 160mg,b/10
490,bactizol,  cefazoline,1g,b/1+1
491,bactrim,   cotrimoxazole,200mg/40mg/5ml,fl/100 ml
492,bactrim,   cotrimoxazole,400mg/80mg,b/20
493,bactrim forte, cotrimoxazole,800mg/160mg,bt/10
494,bactroban, mupirocine,0.02,t/15 g
495,balkaprofen,   ibuprofene,400,b/20
496,balkatrine,cotrimoxazole,200mg/40mg/5ml,fl/100 ml
497,balkatrine,cotrimoxazole,400mg/80mg,b/20
498,baneocin,  bacitracine/neomycine,250ui/5000ui/g,t/20g
499,baneocin,  bacitracine/neomycine,250 ui/5000 ui/g,fl/10g
